Event;Date
March Equinox;March 20, 2021 at 10:37 AM GMT+1
June Solstice;June 21, 2021 at 5:31 AM GMT+2
September Equinox;September 22, 2021 at 9:20 PM GMT+2
December Solstice;December 21, 2021 at 4:59 PM GMT+1
March Equinox;March 20, 2022 at 4:33 PM GMT+1
June Solstice;June 21, 2022 at 11:13 AM GMT+2
September Equinox;September 23, 2022 at 3:04 AM GMT+2
December Solstice;December 21, 2022 at 10:47 PM GMT+1
March Equinox;March 20, 2023 at 10:24 PM GMT+1
June Solstice;June 21, 2023 at 4:57 PM GMT+2
September Equinox;September 23, 2023 at 8:49 AM GMT+2
December Solstice;December 22, 2023 at 4:27 AM GMT+1
March Equinox;March 20, 2024 at 4:06 AM GMT+1
June Solstice;June 20, 2024 at 10:50 PM GMT+2
September Equinox;September 22, 2024 at 2:43 PM GMT+2
December Solstice;December 21, 2024 at 10:20 AM GMT+1
March Equinox;March 20, 2025 at 10:01 AM GMT+1
June Solstice;June 21, 2025 at 4:42 AM GMT+2
September Equinox;September 22, 2025 at 8:19 PM GMT+2
December Solstice;December 21, 2025 at 4:03 PM GMT+1
March Equinox;March 20, 2026 at 3:45 PM GMT+1
June Solstice;June 21, 2026 at 10:25 AM GMT+2
September Equinox;September 23, 2026 at 2:05 AM GMT+2
December Solstice;December 21, 2026 at 9:50 PM GMT+1
March Equinox;March 20, 2027 at 9:24 PM GMT+1
June Solstice;June 21, 2027 at 4:10 PM GMT+2
September Equinox;September 23, 2027 at 8:01 AM GMT+2
December Solstice;December 22, 2027 at 3:42 AM GMT+1
March Equinox;March 20, 2028 at 3:17 AM GMT+1
June Solstice;June 20, 2028 at 10:01 PM GMT+2
September Equinox;September 22, 2028 at 1:45 PM GMT+2
December Solstice;December 21, 2028 at 9:20 AM GMT+1
March Equinox;March 20, 2029 at 9:01 AM GMT+1
June Solstice;June 21, 2029 at 3:48 AM GMT+2
September Equinox;September 22, 2029 at 7:37 PM GMT+2
December Solstice;December 21, 2029 at 3:14 PM GMT+1
March Equinox;March 20, 2030 at 2:51 PM GMT+1
June Solstice;June 21, 2030 at 9:31 AM GMT+2
September Equinox;September 23, 2030 at 1:27 AM GMT+2
December Solstice;December 21, 2030 at 9:09 PM GMT+1
