event;date
March Equinox;2021-03-20 09:37:00
June Solstice;2021-06-21 03:31:00
September Equinox;2021-09-22 19:20:00
December Solstice;2021-12-21 15:59:00
March Equinox;2022-03-20 15:33:00
June Solstice;2022-06-21 09:13:00
September Equinox;2022-09-23 01:04:00
December Solstice;2022-12-21 21:47:00
March Equinox;2023-03-20 21:24:00
June Solstice;2023-06-21 14:57:00
September Equinox;2023-09-23 06:49:00
December Solstice;2023-12-22 03:27:00
March Equinox;2024-03-20 03:06:00
June Solstice;2024-06-20 20:50:00
September Equinox;2024-09-22 12:43:00
December Solstice;2024-12-21 09:20:00
March Equinox;2025-03-20 09:01:00
June Solstice;2025-06-21 02:42:00
September Equinox;2025-09-22 18:19:00
December Solstice;2025-12-21 15:03:00
March Equinox;2026-03-20 14:45:00
June Solstice;2026-06-21 08:25:00
September Equinox;2026-09-23 00:05:00
December Solstice;2026-12-21 20:50:00
March Equinox;2027-03-20 20:24:00
June Solstice;2027-06-21 14:10:00
September Equinox;2027-09-23 06:01:00
December Solstice;2027-12-22 02:42:00
March Equinox;2028-03-20 02:17:00
June Solstice;2028-06-20 20:01:00
September Equinox;2028-09-22 11:45:00
December Solstice;2028-12-21 08:20:00
March Equinox;2029-03-20 08:01:00
June Solstice;2029-06-21 01:48:00
September Equinox;2029-09-22 17:37:00
December Solstice;2029-12-21 14:14:00
March Equinox;2030-03-20 13:51:00
June Solstice;2030-06-21 07:31:00
September Equinox;2030-09-22 23:27:00
December Solstice;2030-12-21 20:09:00
