code_figure;code_name
0;"Clear Sky"
1;"Cloudy"
2;"Cloudy"
3;"Cloudy"
4;"Reduced Visibility"
5;"Haze"
6;"Suspended Dust"
7;"Suspended Dust"
8;"Suspended Dust"
9;"Suspended Dust"
10;"Mist"
11;"Fog"
12;"Fog"
13;"Distant Lightning"
14;"Distant Precipitation"
15;"Distant Precipitation"
16;"Distant Precipitation"
17;"Thunderstorm"
18;"Cloud Formation"
19;"Cloud Formation"
20;"Precipitation"
21;"Precipitation"
22;"Precipitation"
23;"Precipitation"
24;"Precipitation"
25;"Precipitation"
26;"Precipitation"
27;"Precipitation"
28;"Precipitation"
29;"Precipitation"
30;"Duststorm"
31;"Duststorm"
32;"Duststorm"
33;"Duststorm"
34;"Duststorm"
35;"Duststorm"
36;"Duststorm"
37;"Duststorm"
38;"Duststorm"
39;"Duststorm"
40;"Fog"
41;"Fog"
42;"Fog"
43;"Fog"
44;"Fog"
45;"Fog"
46;"Fog"
47;"Fog"
48;"Fog"
49;"Fog"
50;"Drizzle"
51;"Drizzle"
52;"Drizzle"
53;"Drizzle"
54;"Drizzle"
55;"Drizzle"
56;"Drizzle"
57;"Drizzle"
58;"Drizzle"
59;"Drizzle"
60;"Rain"
61;"Rain"
62;"Rain"
63;"Rain"
64;"Rain"
65;"Rain"
66;"Rain"
67;"Rain"
68;"Rain"
69;"Rain"
70;"Solid precipitation"
71;"Solid precipitation"
72;"Solid precipitation"
73;"Solid precipitation"
74;"Solid precipitation"
75;"Solid precipitation"
76;"Solid precipitation"
77;"Solid precipitation"
78;"Solid precipitation"
79;"Solid precipitation"
80;"Showery precipitation"
81;"Showery precipitation"
82;"Showery precipitation"
83;"Showery precipitation"
84;"Showery precipitation"
85;"Showery precipitation"
86;"Showery precipitation"
87;"Showery precipitation"
88;"Showery precipitation"
89;"Showery precipitation"
90;"Showery precipitation"
91;"Showery precipitation"
92;"Showery precipitation"
93;"Showery precipitation"
94;"Showery precipitation"
95;"Showery precipitation"
96;"Showery precipitation"
97;"Showery precipitation"
98;"Showery precipitation"
99;"Showery precipitation"
